"arvore";"dap";"ht";"hi";"dicc";"disc"
44;15,12;11,76;10;3,12;3,12
44;15,12;11,76;11,17;1,59;1,59
45;31,1;21,6;0,05;42,59;37,69
45;31,1;21,6;0,22;40,22;35,52
45;31,1;21,6;0,43;37,06;32,56
45;31,1;21,6;0,65;34,56;30,56
45;31,1;21,6;0,86;33,54;29,54
45;31,1;21,6;1,08;33,28;29,28
45;31,1;21,6;2,16;30,11;27,61
45;31,1;21,6;3,24;28,81;26,31
45;31,1;21,6;5,4;26,96;24,76
45;31,1;21,6;7,56;24,41;22,41
45;31,1;21,6;9,72;23,27;21,77
45;31,1;21,6;11,93;20,88;20,18
45;31,1;21,6;14,04;18,62;18,02
45;31,1;21,6;16,2;15,28;14,68
45;31,1;21,6;18,36;8,18;7,78
45;31,1;21,6;20,52;3,15;2,95
46;27,79;17,75;0,07;35,16;29,86
46;27,79;17,75;0,18;33,75;28,65
46;27,79;17,75;0,35;31,99;26,99
46;27,79;17,75;0,53;30,24;25,94
46;27,79;17,75;0,71;29,48;25,18
46;27,79;17,75;0,89;29,13;24,83
46;27,79;17,75;1,77;27,53;24,03
46;27,79;17,75;2,66;26,55;23,05
46;27,79;17,75;4,44;23,55;21,05
46;27,79;17,75;6,21;21,71;19,91
46;27,79;17,75;7,99;19,83;18,93
46;27,79;17,75;9,76;17,28;16,38
46;27,79;17,75;11,54;14,9;14
46;27,79;17,75;13,31;11,46;10,96
46;27,79;17,75;15,09;7,13;6,83
46;27,79;17,75;16,86;2,87;2,67
47;36,92;19,45;0,01;51,07;43,77
47;36,92;19,45;0,19;45,18;40,08
47;36,92;19,45;0,39;41,58;37,08
47;36,92;19,45;0,58;39,83;35,33
47;36,92;19,45;0,78;38,59;34,19
47;36,92;19,45;0,97;37,54;33,14
47;36,92;19,45;1,95;37,24;33,84
47;36,92;19,45;2,97;35,21;31,81
47;36,92;19,45;4,89;32,69;29,69
47;36,92;19,45;6,81;29,95;27,95
47;36,92;19,45;8,75;27,47;25,57
47;36,92;19,45;10,7;23,87;21,97
47;36,92;19,45;12,64;21,49;19,89
47;36,92;19,45;14,66;14,64;13,84
47;36,92;19,45;16,53;9,1;8,9
47;36,92;19,45;18,48;3,18;2,98
48;39,15;19,98;0,09;53,58;47,78
48;39,15;19,98;0,2;49,51;44,91
48;39,15;19,98;0,4;45,88;41,28
48;39,15;19,98;0,6;43,75;39,15
48;39,15;19,98;0,8;42,43;38,13
48;39,15;19,98;1;40,59;36,29
48;39,15;19,98;2;36,92;33,62
48;39,15;19,98;3;35,4;32,6
48;39,15;19,98;4,99;33,58;30,78
48;39,15;19,98;6,99;30,56;27,86
48;39,15;19,98;9,1;28,17;25,97
48;39,15;19,98;10,99;26,26;24,76
48;39,15;19,98;12,99;23,36;21,86
48;39,15;19,98;14,98;15,18;14,08
48;39,15;19,98;16,9;11,71;11,31
48;39,15;19,98;18,98;4,14;3,94
49;35,17;15,87;0,08;51,99;38,29
49;35,17;15,87;0,16;44,81;36,41
49;35,17;15,87;0,32;43,48;35,08
49;35,17;15,87;0,48;41,77;33,87
49;35,17;15,87;0,63;39,98;32,98
49;35,17;15,87;0,79;38,32;32,02
49;35,17;15,87;1,59;34,41;29,11
49;35,17;15,87;2,38;32,18;28,28
49;35,17;15,87;3,97;30,08;26,48
49;35,17;15,87;5,44;27,09;24,99
49;35,17;15,87;7,28;24;22
49;35,17;15,87;8,73;21,96;20,16
49;35,17;15,87;10,36;18,4;16,9
49;35,17;15,87;11,85;14,45;13,55
49;35,17;15,87;13,49;7,58;7,18
49;35,17;15,87;15,08;2,99;2,79
50;16,81;13,9;0,08;27,88;18,68
50;16,81;13,9;0,14;23,93;17,83
50;16,81;13,9;0,28;20,21;16,01
50;16,81;13,9;0,42;18,98;15,28
50;16,81;13,9;0,56;18,01;14,71
50;16,81;13,9;0,69;17,62;14,32
50;16,81;13,9;1,39;16,77;13,97
50;16,81;13,9;2,09;15,22;12,92
50;16,81;13,9;3,47;13,43;11,93
50;16,81;13,9;4,86;11,9;10,5
50;16,81;13,9;6,26;10,7;9,6
50;16,81;13,9;7,64;9,84;9,14
50;16,81;13,9;9,03;8,79;8,39
50;16,81;13,9;10,43;6,88;6,58
50;16,81;13,9;11,81;4,11;3,91
50;16,81;13,9;13,2;2,23;2,23
51;31,67;16,95;0;45,66;36,16
51;31,67;16,95;0,22;44,86;36,16
51;31,67;16,95;0,34;40,34;31,64
51;31,67;16,95;0,51;35,5;29
51;31,67;16,95;0,68;34,73;28,43
51;31,67;16,95;0,85;33,9;27,6
51;31,67;16,95;1,7;30,02;25,32
51;31,67;16,95;2,54;28,14;24,44
51;31,67;16,95;4,2;26,36;23,16
51;31,67;16,95;5,9;24,03;20,83
51;31,67;16,95;7,65;21,01;18,71
51;31,67;16,95;9,37;17,51;16,11
51;31,67;16,95;11,02;14,51;13,41
51;31,67;16,95;12,71;10,6;9,9
51;31,67;16,95;14,41;6,46;6,16
51;31,67;16,95;16,1;3,22;3,02
52;26,07;16,24;0,03;39,09;27,79
52;26,07;16,24;0,16;32,94;25,34
52;26,07;16,24;0,32;31,63;24,03
52;26,07;16,24;0,49;28,63;22,73
52;26,07;16,24;0,65;27,77;21,87
52;26,07;16,24;0,81;25,99;21,29
52;26,07;16,24;1,62;24,83;20,23
52;26,07;16,24;2,44;22,73;18,43
52;26,07;16,24;4,06;19,96;17,06
52;26,07;16,24;5,68;18,59;16,49
52;26,07;16,24;7,31;17,06;15,16
52;26,07;16,24;9;15,41;13,91
52;26,07;16,24;10,56;13,08;12,08
52;26,07;16,24;12,18;11,3;10,5
52;26,07;16,24;13,82;6,24;5,74
52;26,07;16,24;15,43;2,52;2,32
53;39,12;16,02;0,06;51,27;41,67
53;39,12;16,02;0,16;47,84;38,64
53;39,12;16,02;0,32;43,95;35,65
53;39,12;16,02;0,48;42,65;34,35
53;39,12;16,02;0,64;41,34;33,04
53;39,12;16,02;0,8;40,85;32,75
53;39,12;16,02;1,6;37,27;29,77
53;39,12;16,02;2,4;35,78;29,08
53;39,12;16,02;4,01;31,54;26,04
53;39,12;16,02;5,61;28,65;24,15
53;39,12;16,02;7,21;25,72;23,12
53;39,12;16,02;8,81;24,26;21,76
53;39,12;16,02;10,41;20,85;18,45
53;39,12;16,02;12,02;15,31;13,41
53;39,12;16,02;13,62;8,34;7,44
53;39,12;16,02;15,22;2,01;1,61
54;13,02;9,96;0,04;19,07;14,37
54;13,02;9,96;0,1;18,56;13,86
54;13,02;9,96;0,2;16,52;11,82
54;13,02;9,96;0,3;16,11;11,71
54;13,02;9,96;0,4;15,41;11,21
54;13,02;9,96;0,5;14,32;10,12
54;13,02;9,96;1;13,24;9,84
54;13,02;9,96;1,49;12,51;9,31
54;13,02;9,96;2,49;11,78;8,98
54;13,02;9,96;3,49;9,39;8,19
54;13,02;9,96;4,48;8,63;7,93
54;13,02;9,96;5,48;7,58;7,08
54;13,02;9,96;6,47;5,73;5,53
54;13,02;9,96;7,47;4,65;4,45
54;13,02;9,96;8,47;2,13;2,13
54;13,02;9,96;9,46;0,67;0,67
55;36,03;21,13;0,19;42,65;36,25
55;36,03;21,13;0,21;41,7;36,3
55;36,03;21,13;0,42;40,27;35,57
55;36,03;21,13;0,63;39,66;35,26
55;36,03;21,13;0,85;37,62;33,52
55;36,03;21,13;1,06;36,57;32,67
55;36,03;21,13;2,11;33,74;31,44
55;36,03;21,13;3,17;32,09;30,09
55;36,03;21,13;5,28;28,68;26,88
55;36,03;21,13;7,4;25,08;23,98
55;36,03;21,13;9,51;23,08;22,28
55;36,03;21,13;11,66;21,07;20,37
55;36,03;21,13;13,73;18,46;17,86
55;36,03;21,13;15,85;15,25;14,85
55;36,03;21,13;17,96;9,58;9,38
55;36,03;21,13;20,07;3,57;3,57
56;46,44;24,93;0,02;63,34;50,94
56;46,44;24,93;0,25;57,14;46,24
56;46,44;24,93;0,5;53,22;43,22
56;46,44;24,93;0,75;49,5;39,9
56;46,44;24,93;1;47,59;38,29
56;46,44;24,93;1,25;46,6;37,8
56;46,44;24,93;2,49;42,37;34,27
56;46,44;24,93;3,74;38,67;31,87
56;46,44;24,93;6,23;35,78;30,28
56;46,44;24,93;8,73;31,1;27,4
56;46,44;24,93;11,3;28,68;25,58
56;46,44;24,93;13,71;25,78;23,68
56;46,44;24,93;16,2;22,79;20,99
56;46,44;24,93;18,75;17,67;16,37
56;46,44;24,93;21,19;12,16;11,26
56;46,44;24,93;23,68;5,13;4,73
57;41,76;24,94;0,02;49,91;39,41
57;41,76;24,94;0,25;47,75;37,35
57;41,76;24,94;0,5;44,37;36,37
57;41,76;24,94;0,75;42,56;34,76
57;41,76;24,94;1;42,08;34,78
57;41,76;24,94;1,25;42,02;35,52
57;41,76;24,94;2,49;38,9;34,1
57;41,76;24,94;3,74;35,49;32,79
57;41,76;24,94;6,31;33,58;31,58
57;41,76;24,94;8,73;31,89;30,09
57;41,76;24,94;11,22;30,27;28,47
57;41,76;24,94;13,72;27,82;26,22
57;41,76;24,94;16,21;24,67;23,47
57;41,76;24,94;18,7;21,17;20,07
57;41,76;24,94;21,28;12,13;11,53
57;41,76;24,94;23,69;6,78;6,38
58;26,8;22,81;0,06;32,98;25,68
58;26,8;22,81;0,23;31,54;25,24
58;26,8;22,81;0,46;29,44;23,44
58;26,8;22,81;0,68;28,33;22,53
58;26,8;22,81;0,91;27,41;22,01
58;26,8;22,81;1,14;26,96;22,46
58;26,8;22,81;2,28;25,91;22,51
58;26,8;22,81;3,42;25,08;21,88
58;26,8;22,81;5,7;22,03;19,43
58;26,8;22,81;7,98;19,19;17,19
58;26,8;22,81;10,26;16,71;15,01
58;26,8;22,81;12,55;13,94;12,34
58;26,8;22,81;14,83;11,52;10,42
58;26,8;22,81;17,11;9,2;8,5
58;26,8;22,81;19,39;6,97;6,37
58;26,8;22,81;21,67;0,32;0,12
59;33,42;27,25;0,08;41,99;34,19
59;33,42;27,25;0,27;37,53;30,83
59;33,42;27,25;0,55;36,54;30,94
59;33,42;27,25;0,82;35,14;30,04
59;33,42;27,25;1,09;34,35;29,85
59;33,42;27,25;1,36;33,26;28,76
59;33,42;27,25;2,72;32,02;28,02
59;33,42;27,25;4,09;31;27,1
59;33,42;27,25;6,81;27,57;24,37
59;33,42;27,25;9,54;25,15;22,55
59;33,42;27,25;12,26;23,87;22,07
59;33,42;27,25;14,99;21,07;19,87
59;33,42;27,25;17,71;18,78;17,98
59;33,42;27,25;20,49;15,34;14,84
59;33,42;27,25;23,2;9,96;9,76
59;33,42;27,25;25,84;3,82;3,62
60;22,66;22,81;0,04;28,55;23,85
60;22,66;22,81;0,23;26,1;21,7
60;22,66;22,81;0,46;24,57;20,77
60;22,66;22,81;0,68;23,68;21,08
60;22,66;22,81;0,91;23,08;20,58
60;22,66;22,81;1,14;22,7;20,6
60;22,66;22,81;2,28;21,23;19,43
60;22,66;22,81;3,42;20,09;18,59
60;22,66;22,81;5,7;18,18;16,98
60;22,66;22,81;7,98;16,81;15,81
60;22,66;22,81;10,26;15,09;14,29
60;22,66;22,81;12,55;13,62;12,82
60;22,66;22,81;14,83;11,55;10,95
60;22,66;22,81;17,11;9,49;8,99
60;22,66;22,81;19,39;7,86;7,46
60;22,66;22,81;21,61;5,32;5,12
61;18,81;19,32;0,07;27,85;23,35
61;18,81;19,32;0,19;24,89;21,09
61;18,81;19,32;0,39;22,66;19,56
61;18,81;19,32;0,58;22,22;19,72
61;18,81;19,32;0,77;20,82;18,32
61;18,81;19,32;0,97;20,4;18,2
61;18,81;19,32;1,93;18,4;16,4
61;18,81;19,32;2,9;17,67;15,77
61;18,81;19,32;4,83;16,42;14,62
61;18,81;19,32;6,76;14,96;13,56
61;18,81;19,32;8,69;13,27;12,17
61;18,81;19,32;10,63;11,94;11,04
61;18,81;19,32;12,56;10,25;9,75
61;18,81;19,32;14,49;8,95;8,45
61;18,81;19,32;16,42;6,37;5,97
61;18,81;19,32;18,35;3,6;3,2
62;46,92;25,45;0,1;55,04;41,54
62;46,92;25,45;0,25;52,2;44,4
62;46,92;25,45;0,51;50,32;43,12
62;46,92;25,45;0,76;49,59;44,09
62;46,92;25,45;1,02;48,54;43,84
62;46,92;25,45;1,27;46,98;42,68
62;46,92;25,45;2,55;45,39;41,39
62;46,92;25,45;3,82;45,1;41,4
62;46,92;25,45;6,36;42,05;39,15
62;46,92;25,45;8,91;39,82;37,72
62;46,92;25,45;11,45;37,11;35,01
62;46,92;25,45;14,02;32,47;30,67
62;46,92;25,45;16,55;27,57;26,27
62;46,92;25,45;19,09;21,2;20,2
62;46,92;25,45;21,63;12,89;12,09
62;46,92;25,45;24,18;4,04;3,84
63;21,74;19,36;0,1;28,68;18,68
63;21,74;19,36;0,19;25,4;17,9
63;21,74;19,36;0,39;24,73;18,63
63;21,74;19,36;0,58;23,71;18,01
63;21,74;19,36;0,77;23,17;18,17
63;21,74;19,36;0,97;21,84;18,34
63;21,74;19,36;1,94;21,17;17,97
63;21,74;19,36;2,85;19,39;16,89
63;21,74;19,36;4,84;18,02;16,12
63;21,74;19,36;6,78;16,27;14,57
63;21,74;19,36;8,71;14,48;13,68
63;21,74;19,36;10,65;12,64;11,94
63;21,74;19,36;12,58;11,55;10,95
63;21,74;19,36;14,52;9,52;8,92
63;21,74;19,36;16,46;5,73;5,33
63;21,74;19,36;18,39;2,04;1,84
64;18,37;19,1;0,03;24,54;18,74
64;18,37;19,1;0,19;21,52;18,32
64;18,37;19,1;0,38;20,24;18,04
64;18,37;19,1;0,57;19,89;18,09
64;18,37;19,1;0,76;19,19;17,49
64;18,37;19,1;0,95;19,13;17,53
64;18,37;19,1;1,91;18,05;16,65
64;18,37;19,1;2,87;17;15,8
64;18,37;19,1;4,78;15,76;14,76
64;18,37;19,1;6,68;14,36;13,56
64;18,37;19,1;8,6;13,18;12,58
64;18,37;19,1;10,51;11,62;11,02
64;18,37;19,1;12,41;10,15;9,75
64;18,37;19,1;14,32;7,86;7,46
64;18,37;19,1;16,24;5,06;4,86
64;18,37;19,1;18,15;1,53;1,53
65;12,51;10,93;0,05;17;11,2
65;12,51;10,93;0,11;16,01;12,01
65;12,51;10,93;0,22;15,92;11,92
65;12,51;10,93;0,33;15,47;11,87
65;12,51;10,93;0,44;14,99;11,39
65;12,51;10,93;0,55;14,96;11,46
65;12,51;10,93;1,09;13,21;10,41
65;12,51;10,93;1,64;11,81;10,01
65;12,51;10,93;2,73;10,92;9,72
65;12,51;10,93;3,83;9,68;8,88
65;12,51;10,93;4,92;8,37;7,67
65;12,51;10,93;6,01;7,19;6,69
65;12,51;10,93;7,1;6,05;5,75
65;12,51;10,93;8,2;4,78;4,58
65;12,51;10,93;9,29;3,28;3,08
65;12,51;10,93;10,38;1,5;1,5
66;25,94;17,54;0,03;37,5;24,3
66;25,94;17,54;0,18;30,91;22,01
66;25,94;17,54;0,35;29,95;22,25
66;25,94;17,54;0,53;28,93;21,73
66;25,94;17,54;0,7;27,92;20,92
66;25,94;17,54;0,88;27,22;20,42
66;25,94;17,54;1,75;24,19;20,79
66;25,94;17,54;2,63;22,5;19,5
66;25,94;17,54;4,36;19,83;17,43
66;25,94;17,54;6,14;17,63;15,73
66;25,94;17,54;7,89;16,3;14,7
66;25,94;17,54;9,62;14,67;13,47
66;25,94;17,54;11,33;12,51;11,41
66;25,94;17,54;13,12;10,35;9,25
66;25,94;17,54;14,91;6,53;5,93
66;25,94;17,54;16,66;2,52;2,12
67;33,65;18,69;0,02;45,2;32,4
67;33,65;18,69;0,19;41,79;31,09
67;33,65;18,69;0,37;39,09;30,29
67;33,65;18,69;0,56;38,1;29,6
67;33,65;18,69;0,75;35,78;28,48
67;33,65;18,69;0,93;34,06;27,86
67;33,65;18,69;1,87;31,51;26,71
67;33,65;18,69;2,8;30,21;25,51
67;33,65;18,69;4,67;26,96;24,16
67;33,65;18,69;6,54;24,73;22,73
67;33,65;18,69;8,41;22,54;20,94
67;33,65;18,69;10,34;20,21;18,71
67;33,65;18,69;12,15;17,38;16,38
67;33,65;18,69;14,02;13,37;12,57
67;33,65;18,69;15,89;8,12;7,72
67;33,65;18,69;17,76;2,39;2,19
68;40,11;19,91;0,08;54,46;39,96
68;40,11;19,91;0,2;46,47;34,17
68;40,11;19,91;0,4;44,79;34,69
68;40,11;19,91;0,6;44,15;34,15
68;40,11;19,91;0,8;43,74;34,54
68;40,11;19,91;1;42,14;33,94
68;40,11;19,91;1,99;39,6;31,9
68;40,11;19,91;2,99;33,01;28,01
68;40,11;19,91;4,98;30,21;26,71
68;40,11;19,91;6,97;28,43;25,23
68;40,11;19,91;8,92;26,42;24,52
68;40,11;19,91;10,95;24,32;22,42
68;40,11;19,91;12,94;20,53;19,13
68;40,11;19,91;14,9;16,84;15,94
68;40,11;19,91;16,92;5,54;5,14
68;40,11;19,91;18,91;2,52;2,32
69;37,66;22;0,09;49,59;38,29
69;37,66;22;0,22;43,42;35,62
69;37,66;22;0,44;40,97;35,57
69;37,66;22;0,66;39,79;34,59
69;37,66;22;0,88;37,78;33,78
69;37,66;22;1,1;37,75;33,75
69;37,66;22;2,2;36,13;32,73
69;37,66;22;3,26;34,63;31,83
69;37,66;22;5,5;32,88;30,68
69;37,66;22;7,77;29,79;27,79
69;37,66;22;9,9;27,6;26,4
69;37,66;22;12,2;24,76;23,66
69;37,66;22;14,35;22,63;21,63
69;37,66;22;16,5;17,6;16,7
69;37,66;22;18,7;10,22;9,62
69;37,66;22;20,9;3,44;3,04
71;12,1;10,7;0,03;19,74;16,04
71;12,1;10,7;0,1;14,71;11,21
71;12,1;10,7;0,21;14,64;11,34
71;12,1;10,7;0,32;14,07;10,77
71;12,1;10,7;0,42;13,69;10,59
71;12,1;10,7;0,53;13,05;10,35
71;12,1;10,7;1,07;12,48;10,28
71;12,1;10,7;1,6;11,78;9,88
71;12,1;10,7;2,67;10,98;9,68
71;12,1;10,7;3,74;10,31;9,61
71;12,1;10,7;4,81;9,3;8,7
71;12,1;10,7;5,88;8,28;7,88
71;12,1;10,7;6,95;6,78;6,38
71;12,1;10,7;8,02;5,48;5,28
71;12,1;10,7;9,09;3,82;3,62
71;12,1;10,7;10,16;2,23;2,23
72;38,52;21,02;0,04;47,33;37,83
72;38,52;21,02;0,21;46,79;37,59
72;38,52;21,02;0,42;42,81;36,31
72;38,52;21,02;0,63;41,22;35,42
72;38,52;21,02;0,84;39,09;33,39
72;38,52;21,02;1,05;38,52;33,12
72;38,52;21,02;2,1;37,56;33,56
72;38,52;21,02;3,15;35,71;32,11
72;38,52;21,02;5,26;33,55;30,75
72;38,52;21,02;7,36;31,83;29,93
72;38,52;21,02;9,46;28,97;27,47
72;38,52;21,02;11,56;25,94;24,94
72;38,52;21,02;13,66;21,23;20,33
72;38,52;21,02;15,77;16,74;15,94
72;38,52;21,02;17,87;10,28;9,68
72;38,52;21,02;19,97;3,88;3,68
73;18,62;15;0,05;26,93;16,53
73;18,62;15;0,15;25,24;15,24
73;18,62;15;0,3;23,2;15,1
73;18,62;15;0,45;21,8;13,9
73;18,62;15;0,6;21,17;13,97
73;18,62;15;0,75;21,1;14,6
73;18,62;15;1,5;18,3;13,3
73;18,62;15;2,25;17,22;13,22
73;18,62;15;3,75;14,99;12,79
73;18,62;15;5,25;13,85;12,05
73;18,62;15;6,75;11,9;10,5
73;18,62;15;8,25;10,15;9,15
73;18,62;15;9,75;8,66;7,76
73;18,62;15;11,25;6,65;6,15
73;18,62;15;12,7;4,78;4,48
73;18,62;15;14,25;1,27;1,27
74;33,49;17,58;0,07;48,38;37,38
74;33,49;17,58;0,18;43,99;33,49
74;33,49;17,58;0,35;42,56;32,76
74;33,49;17,58;0,53;36,89;29,69
74;33,49;17,58;0,7;36,35;29,95
74;33,49;17,58;0,88;35,21;29,01
74;33,49;17,58;1,76;31,19;25,99
74;33,49;17,58;2,64;30,24;26,84
74;33,49;17,58;4,39;27,28;24,98
74;33,49;17,58;6,15;25,08;23,08
74;33,49;17,58;7,91;23,87;22,17
74;33,49;17,58;9,67;21,01;19,71
74;33,49;17,58;11,43;18,4;17,3
74;33,49;17,58;13,19;14,26;13,46
74;33,49;17,58;14,94;7,54;6,94
74;33,49;17,58;16,7;2,23;2,03
75;28,23;16,79;0,02;39,88;31,98
75;28,23;16,79;0,17;37,05;30,35
75;28,23;16,79;0,34;33,14;26,64
75;28,23;16,79;0,5;31,16;25,16
75;28,23;16,79;0,67;29,76;24,56
75;28,23;16,79;0,84;29,28;24,48
75;28,23;16,79;1,68;27,82;23,82
75;28,23;16,79;2,52;26,52;23,22
75;28,23;16,79;4,2;23,97;21,77
75;28,23;16,79;5,88;23,24;21,34
75;28,23;16,79;7,56;20,85;19,55
75;28,23;16,79;9,23;19,48;18,28
75;28,23;16,79;10,91;16,52;15,82
75;28,23;16,79;12,59;13,18;12,48
75;28,23;16,79;14,27;5,28;4,98
75;28,23;16,79;15,95;1,88;1,68
76;20,75;18,88;0,02;27,22;21,62
76;20,75;18,88;0,19;24,48;18,88
76;20,75;18,88;0,38;22,7;17,7
76;20,75;18,88;0,57;21,39;17,69
76;20,75;18,88;0,76;21,1;17,6
76;20,75;18,88;0,94;21,04;18,04
76;20,75;18,88;1,89;20,34;17,64
76;20,75;18,88;2,83;19,61;16,91
76;20,75;18,88;4,72;17,41;15,41
76;20,75;18,88;6,61;16,27;14,47
76;20,75;18,88;8,5;14,83;13,23
76;20,75;18,88;10,38;13,62;12,12
76;20,75;18,88;12,27;12;11
76;20,75;18,88;14,16;10;9,2
76;20,75;18,88;16,05;6,4;5,8
76;20,75;18,88;17,94;2,13;1,93
77;41,13;20,39;0,04;50,77;42,77
77;41,13;20,39;0,2;47,91;40,11
77;41,13;20,39;0,41;46,31;38,51
77;41,13;20,39;0,61;44,72;37,92
77;41,13;20,39;0,82;43,51;37,91
77;41,13;20,39;1,02;41,95;36,35
77;41,13;20,39;2,04;38,67;33,87
77;41,13;20,39;3,06;36,92;32,92
77;41,13;20,39;5,1;32,69;29,49
77;41,13;20,39;7,14;30,02;27,22
77;41,13;20,39;9,18;27,5;25,3
77;41,13;20,39;11,21;24,57;22,77
77;41,13;20,39;13,25;21,33;19,73
77;41,13;20,39;15,09;16,46;15,06
77;41,13;20,39;17,33;8,72;8,12
77;41,13;20,39;19,37;3,18;2,78
78;12,99;11,76;0,07;21,33;14,23
78;12,99;11,76;0,12;18,84;12,54
78;12,99;11,76;0,24;16,87;12,47
78;12,99;11,76;0,35;16,42;12,72
78;12,99;11,76;0,47;15,63;11,93
78;12,99;11,76;0,59;15,15;12,05
78;12,99;11,76;1,18;14,26;11,46
78;12,99;11,76;1,76;12,76;10,76
78;12,99;11,76;2,94;11,59;10,69
78;12,99;11,76;4,12;10,28;9,68
78;12,99;11,76;5,29;9,36;8,76
78;12,99;11,76;6,47;8,53;8,03
78;12,99;11,76;7,64;7,42;7,02
78;12,99;11,76;8,82;6,05;5,85
78;12,99;11,76;10;4,3;4,1
78;12,99;11,76;11,17;1,91;1,91
79;49,02;15,1;0,06;67,86;55,86
79;49,02;15,1;0,15;64,78;52,78
79;49,02;15,1;0,3;60,16;48,86
79;49,02;15,1;0,45;56,82;47,32
79;49,02;15,1;0,6;54,49;45,49
79;49,02;15,1;0,75;52,2;44,2
79;49,02;15,1;1,51;48,22;40,52
79;49,02;15,1;2,27;42,34;37,04
79;49,02;15,1;3,7;38,83;35,23
79;49,02;15,1;5,28;36,54;33,94
79;49,02;15,1;6,8;33,42;30,82
79;49,02;15,1;8,31;27,66;25,46
79;49,02;15,1;9,81;25,69;23,79
79;49,02;15,1;11,32;10,5;9,6
79;49,02;15,1;12,84;6,91;6,11
79;49,02;15,1;14,35;2,48;2,08
80;29,63;18,35;0,07;38,67;30,57
80;29,63;18,35;0,18;36,41;29,91
80;29,63;18,35;0,37;34,66;28,66
80;29,63;18,35;0,55;32,56;27,76
80;29,63;18,35;0,73;31,7;27,6
80;29,63;18,35;0,92;31,07;26,97
80;29,63;18,35;1,84;28,17;24,37
80;29,63;18,35;2,75;26,58;23,18
80;29,63;18,35;4,59;24,51;21,81
80;29,63;18,35;6,42;23,2;21
80;29,63;18,35;8,26;22,15;20,25
80;29,63;18,35;10,09;19,86;18,36
80;29,63;18,35;11,9;18,43;17,43
80;29,63;18,35;13,76;14,93;13,93
80;29,63;18,35;15,6;10,15;9,35
80;29,63;18,35;17,43;4,2;3,8
81;24,03;17,32;0,03;32,98;23,98
81;24,03;17,32;0,17;30,69;22,69
81;24,03;17,32;0,35;28,9;21,9
81;24,03;17,32;0,52;27,34;20,84
81;24,03;17,32;0,69;27,18;20,88
81;24,03;17,32;0,87;26,55;21,55
81;24,03;17,32;1,73;23,78;19,28
81;24,03;17,32;2,6;21,9;18,1
81;24,03;17,32;4,33;19,51;16,71
81;24,03;17,32;6,06;17,86;15,96
81;24,03;17,32;7,79;16,36;14,56
81;24,03;17,32;9,53;14,74;13,64
81;24,03;17,32;11,26;13,11;12,41
81;24,03;17,32;12,99;10,03;9,43
81;24,03;17,32;14,76;5,79;5,39
81;24,03;17,32;16,45;0,32;0,32
82;24,35;16,77;0,11;32,21;23,01
82;24,35;16,77;0,17;30,53;23,33
82;24,35;16,77;0,34;27,63;21,03
82;24,35;16,77;0,5;27,22;20,92
82;24,35;16,77;0,67;26,9;21,6
82;24,35;16,77;0,84;26,71;21,81
82;24,35;16,77;1,68;23,55;18,75
82;24,35;16,77;2,52;21,55;18,05
82;24,35;16,77;4,19;20,09;17,79
82;24,35;16,77;5,87;18,88;17,18
82;24,35;16,77;7,55;16,71;15,51
82;24,35;16,77;9,21;15,34;14,24
82;24,35;16,77;10,87;13,5;12,5
82;24,35;16,77;12,58;11,55;10,75
82;24,35;16,77;14,25;8,28;7,88
82;24,35;16,77;15,93;3,85;3,65
83;39,37;21,01;0,04;48,7;38,5
83;39,37;21,01;0,21;46,79;37,29
83;39,37;21,01;0,42;44,5;36
83;39,37;21,01;0,63;42,69;34,19
83;39,37;21,01;0,84;41,54;33,04
83;39,37;21,01;1,05;39,95;31,55
83;39,37;21,01;2,1;36,19;28,89
83;39,37;21,01;3,15;33,26;29,06
83;39,37;21,01;5,25;29,79;26,19
83;39,37;21,01;7,35;27,22;25,02
83;39,37;21,01;9,45;25,11;23,31
83;39,37;21,01;11,56;21,55;19,85
83;39,37;21,01;13,66;17,51;16,31
83;39,37;21,01;15,76;12,41;11,51
83;39,37;21,01;17,86;8,85;8,55
83;39,37;21,01;19,96;3,02;2,82
84;34,38;21,18;0,06;41,83;33,33
84;34,38;21,18;0,21;38,77;31,77
84;34,38;21,18;0,42;37,37;32,07
84;34,38;21,18;0,64;36,13;30,83
84;34,38;21,18;0,85;35,24;30,14
84;34,38;21,18;1,06;34,92;30,12
84;34,38;21,18;2,12;33,74;28,94
84;34,38;21,18;3,18;32,09;28,19
84;34,38;21,18;5,3;29,13;25,93
84;34,38;21,18;7,41;26,29;23,29
84;34,38;21,18;9,53;23,59;21,99
84;34,38;21,18;11,65;21,29;19,69
84;34,38;21,18;13,77;19,45;17,85
84;34,38;21,18;15,89;16,3;15,3
84;34,38;21,18;17,94;12,54;11,54
84;34,38;21,18;20,16;3,47;3,07
85;45,01;20,51;0,06;60,96;48,36
85;45,01;20,51;0,21;56,4;46,4
85;45,01;20,51;0,41;53,83;43,83
85;45,01;20,51;0,62;52,3;42,3
85;45,01;20,51;0,82;50,13;40,83
85;45,01;20,51;1,03;46,7;38,2
85;45,01;20,51;2,05;41,41;35,71
85;45,01;20,51;3,08;38,64;33,84
85;45,01;20,51;5,13;35,3;32,5
85;45,01;20,51;7,18;32,24;29,84
85;45,01;20,51;9,23;29,98;28,28
85;45,01;20,51;11,28;27,82;26,22
85;45,01;20,51;13,33;24,8;23,6
85;45,01;20,51;15,41;17,92;17,02
